Ponto,Arquivo,Shape,Dtype,Min,Max
Point15,HLA-DR.tif,"(2048, 2048)",uint16,0,35
Point15,HLA_Class_1.tif,"(2048, 2048)",uint16,0,24
Point15,IDO.tif,"(2048, 2048)",uint16,0,0
Point15,Keratin17.tif,"(2048, 2048)",uint16,0,12
Point15,Keratin6.tif,"(2048, 2048)",uint16,0,49
Point15,Ki67.tif,"(2048, 2048)",uint16,0,12
Point15,Lag3.tif,"(2048, 2048)",uint16,0,0
Point15,MPO.tif,"(2048, 2048)",uint16,0,11
Point15,Na.tif,"(2048, 2048)",uint16,0,542
Point15,OX40.tif,"(2048, 2048)",uint16,0,5
Point15,P.tif,"(2048, 2048)",uint16,0,73
Point15,p53.tif,"(2048, 2048)",uint16,0,19
Point15,Pan-Keratin.tif,"(2048, 2048)",uint16,0,88
Point15,PD-L1.tif,"(2048, 2048)",uint16,0,8
Point15,PD1.tif,"(2048, 2048)",uint16,0,5
Point15,phospho-S6.tif,"(2048, 2048)",uint16,0,13
Point15,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point15,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point15,Si.tif,"(2048, 2048)",uint16,0,515
Point15,SMA.tif,"(2048, 2048)",uint16,0,121
Point15,Ta.tif,"(2048, 2048)",uint16,0,439
Point15,Vimentin.tif,"(2048, 2048)",uint16,0,38
Point16,Au.tif,"(2048, 2048)",uint16,0,423
Point16,B7H3.tif,"(2048, 2048)",uint16,0,113
Point16,Background.tif,"(2048, 2048)",uint16,0,48
Point16,Beta catenin.tif,"(2048, 2048)",uint16,0,21
Point16,C.tif,"(2048, 2048)",uint16,0,0
Point16,Ca.tif,"(2048, 2048)",uint16,0,505
Point16,CD11b.tif,"(2048, 2048)",uint16,0,11
Point16,CD11c.tif,"(2048, 2048)",uint16,0,16
Point16,CD138.tif,"(2048, 2048)",uint16,0,21
Point16,CD16.tif,"(2048, 2048)",uint16,0,36
Point16,CD163.tif,"(2048, 2048)",uint16,0,65
Point16,CD20.tif,"(2048, 2048)",uint16,0,54
Point16,CD209.tif,"(2048, 2048)",uint16,0,28
Point16,CD3.tif,"(2048, 2048)",uint16,0,17
Point16,CD31.tif,"(2048, 2048)",uint16,0,15
Point16,CD4.tif,"(2048, 2048)",uint16,0,24
Point16,CD45.tif,"(2048, 2048)",uint16,0,58
Point16,CD45RO.tif,"(2048, 2048)",uint16,0,47
Point16,CD56.tif,"(2048, 2048)",uint16,0,12
Point16,CD63.tif,"(2048, 2048)",uint16,0,160
Point16,CD68.tif,"(2048, 2048)",uint16,0,85
Point16,CD8.tif,"(2048, 2048)",uint16,0,31
Point16,CSF-1R.tif,"(2048, 2048)",uint16,0,23
Point16,dsDNA.tif,"(2048, 2048)",uint16,0,136
Point16,EGFR.tif,"(2048, 2048)",uint16,0,8
Point16,Fe.tif,"(2048, 2048)",uint16,0,510
Point16,FoxP3.tif,"(2048, 2048)",uint16,0,10
Point16,H3K27me3.tif,"(2048, 2048)",uint16,0,120
Point16,H3K9ac.tif,"(2048, 2048)",uint16,0,45
Point16,HLA-DR.tif,"(2048, 2048)",uint16,0,123
Point16,HLA_Class_1.tif,"(2048, 2048)",uint16,0,53
Point16,IDO.tif,"(2048, 2048)",uint16,0,20
Point16,Keratin17.tif,"(2048, 2048)",uint16,0,21
Point16,Keratin6.tif,"(2048, 2048)",uint16,0,52
Point16,Ki67.tif,"(2048, 2048)",uint16,0,34
Point16,Lag3.tif,"(2048, 2048)",uint16,0,14
Point16,MPO.tif,"(2048, 2048)",uint16,0,55
Point16,Na.tif,"(2048, 2048)",uint16,0,572
Point16,OX40.tif,"(2048, 2048)",uint16,0,9
Point16,P.tif,"(2048, 2048)",uint16,0,265
Point16,p53.tif,"(2048, 2048)",uint16,0,36
Point16,Pan-Keratin.tif,"(2048, 2048)",uint16,0,46
Point16,PD-L1.tif,"(2048, 2048)",uint16,0,16
Point16,PD1.tif,"(2048, 2048)",uint16,0,14
Point16,phospho-S6.tif,"(2048, 2048)",uint16,0,21
Point16,Segmentation.tif,"(2048, 2048)",uint16,0,1
